0.511,0.307,0.416,0.742
0.518,0.124,0.706,0.767
0.444,0.131,0.566,0.242
0.504,0.01,0.863,0.604
0.538,0.337,0.425,0.846
0.484,0.532,0.084,0.517
0.482,0.351,0.312,0.533
0.563,0.323,0.425,0.912
0.529,0.05,0.806,0.804
0.479,0.077,0.734,0.412
0.487,0.269,0.447,0.567
0.494,0,0.884,0.6
0.473,0.176,0.584,0.463
0.53,0.173,0.666,0.829
0.53,0,0.944,0.892
0.519,0.184,0.603,0.738
0.536,0.518,0.181,0.754
0.451,0.46,0.094,0.358
0.452,0.46,0.097,0.367
0.49,0.095,0.675,0.492
0.529,0.432,0.228,0.733
0.462,0.439,0.131,0.388
0.428,0.414,0.109,0.225
0.482,0,0.872,0.367
0.499,0.055,0.753,0.55
0.51,0.125,0.644,0.658
0.511,0.278,0.422,0.671
0.517,0.408,0.263,0.704
0.519,0.537,0.106,0.683
0.561,0.106,0.75,0.908
0.547,0.065,0.809,0.883
0.476,0.41,0.197,0.475
0.405,0.38,0.125,0.179
0.453,0.489,0.087,0.404
0.478,0.066,0.759,0.454
0.495,0.066,0.794,0.571
0.503,0.249,0.491,0.654
0.504,0.395,0.294,0.646
0.569,0.197,0.581,0.929
0.502,0.47,0.206,0.621
0.441,0.265,0.375,0.279
0.553,0.11,0.722,0.879
0.553,0.11,0.259,0.433
0.56,0.148,0.675,0.892
0.459,0.421,0.188,0.417
0.52,0.052,0.778,0.704
0.521,0.307,0.428,0.75
0.489,0.431,0.234,0.575
0.476,0.401,0.244,0.496
0.523,0.165,0.616,0.762
0.509,0.316,0.394,0.667
0.468,0.414,0.2,0.446
0.468,0.257,0.412,0.429
0.527,0.025,0.8,0.721
0.526,0.241,0.503,0.767
0.526,0.457,0.231,0.708
0.526,0.149,0.628,0.754
0.458,0.205,0.453,0.35
0.532,0.191,0.584,0.792
0.541,0.294,0.463,0.829
0.52,0.494,0.181,0.675
0.464,0.522,0.128,0.412
0.464,0.262,0.409,0.417
0.501,0,0.878,0.579
0.545,0.064,0.772,0.833
0.545,0.059,0.772,0.829
0.559,0.438,0.297,0.863
0.464,0.517,0.131,0.433
0.443,0.378,0.206,0.317
0.588,0.43,0.319,0.958
0.461,0.169,0.534,0.342
0.491,0.074,0.759,0.571
0.438,0.257,0.35,0.258
0.479,0.529,0.113,0.537
0.486,0.324,0.366,0.567
