0.511,0.307,0.416,0.742
0.518,0.124,0.706,0.767
0.444,0.131,0.566,0.242
0.504,0.010,0.863,0.604
0.538,0.337,0.425,0.846
0.484,0.532,0.084,0.517
0.482,0.351,0.312,0.533
0.563,0.323,0.425,0.912
0.529,0.050,0.806,0.804
0.479,0.077,0.734,0.412
0.487,0.269,0.447,0.567
0.494,0.000,0.884,0.600
0.473,0.176,0.584,0.463
0.530,0.173,0.666,0.829
0.530,0.000,0.944,0.892
0.519,0.184,0.603,0.738
0.536,0.518,0.181,0.754
0.451,0.460,0.094,0.358
0.452,0.460,0.097,0.367
0.490,0.095,0.675,0.492
0.529,0.432,0.228,0.733
0.462,0.439,0.131,0.388
0.428,0.414,0.109,0.225
0.482,0.000,0.872,0.367
0.499,0.055,0.753,0.550
0.510,0.125,0.644,0.658
0.511,0.278,0.422,0.671
0.517,0.408,0.263,0.704
0.519,0.537,0.106,0.683
0.561,0.106,0.750,0.908
0.547,0.065,0.809,0.883
0.476,0.410,0.197,0.475
0.405,0.380,0.125,0.179
0.453,0.489,0.087,0.404
0.478,0.066,0.759,0.454
0.495,0.066,0.794,0.571
0.503,0.249,0.491,0.654
0.504,0.395,0.294,0.646
0.569,0.197,0.581,0.929
0.502,0.470,0.206,0.621
0.441,0.265,0.375,0.279
0.553,0.110,0.722,0.879
0.553,0.110,0.259,0.433
0.560,0.148,0.675,0.892
0.459,0.421,0.188,0.417
0.520,0.052,0.778,0.704
0.521,0.307,0.428,0.750
0.489,0.431,0.234,0.575
0.476,0.401,0.244,0.496
0.523,0.165,0.616,0.762
0.509,0.316,0.394,0.667
0.468,0.414,0.200,0.446
0.468,0.257,0.412,0.429
0.527,0.025,0.800,0.721
0.526,0.241,0.503,0.767
0.526,0.457,0.231,0.708
0.526,0.149,0.628,0.754
0.458,0.205,0.453,0.350
0.532,0.191,0.584,0.792
0.541,0.294,0.463,0.829
0.520,0.494,0.181,0.675
0.464,0.522,0.128,0.412
0.464,0.262,0.409,0.417
0.501,0.000,0.878,0.579
0.545,0.064,0.772,0.833
0.545,0.059,0.772,0.829
0.559,0.438,0.297,0.863
0.464,0.517,0.131,0.433
0.443,0.378,0.206,0.317
0.588,0.430,0.319,0.958
0.461,0.169,0.534,0.342
0.491,0.074,0.759,0.571
0.438,0.257,0.350,0.258
0.479,0.529,0.113,0.537
0.486,0.324,0.366,0.567
0.430,0.473,0.134,0.329
0.519,0.467,0.247,0.742
0.533,0.278,0.500,0.833
0.535,0.065,0.766,0.804
0.579,0.000,0.878,0.963
0.509,0.000,0.900,0.546
0.466,0.000,0.894,0.113
0.478,0.352,0.316,0.512
0.441,0.356,0.237,0.321
0.489,0.145,0.656,0.575
0.497,0.467,0.225,0.642
0.527,0.002,0.881,0.704
0.471,0.000,0.881,0.129
0.482,0.195,0.581,0.508
0.547,0.328,0.463,0.867
0.477,0.414,0.256,0.558
0.502,0.148,0.662,0.688
0.543,0.145,0.669,0.858
0.539,0.000,0.909,0.792
0.461,0.000,0.875,0.100
0.515,0.201,0.578,0.717
0.510,0.429,0.269,0.671
0.417,0.415,0.131,0.263
0.438,0.178,0.500,0.221
0.482,0.098,0.703,0.521
0.436,0.230,0.416,0.246
0.525,0.187,0.600,0.762
0.451,0.411,0.194,0.396
0.451,0.266,0.388,0.350
0.478,0.000,0.891,0.404
0.506,0.449,0.247,0.667
0.446,0.449,0.138,0.375
0.515,0.143,0.603,0.679
0.532,0.000,0.834,0.692
0.568,0.106,0.656,0.900
0.563,0.315,0.400,0.858
0.563,0.438,0.253,0.838
0.564,0.566,0.113,0.808
0.525,0.566,0.087,0.642
0.490,0.565,0.053,0.492
0.479,0.508,0.097,0.446
0.445,0.474,0.087,0.312
0.429,0.413,0.113,0.242
0.455,0.258,0.375,0.329
0.461,0.177,0.506,0.333
0.461,0.085,0.647,0.300
0.511,0.047,0.747,0.621
0.521,0.183,0.556,0.721
0.525,0.311,0.397,0.742
0.546,0.065,0.744,0.792
0.476,0.182,0.506,0.433
0.441,0.301,0.278,0.263
0.447,0.130,0.581,0.229
0.438,0.398,0.153,0.304
0.501,0.049,0.766,0.575
0.475,0.000,0.856,0.192
0.535,0.016,0.819,0.754
0.533,0.218,0.534,0.771
0.533,0.332,0.394,0.779
0.532,0.128,0.616,0.787
0.524,0.002,0.850,0.700
0.483,0.000,0.853,0.304
0.494,0.372,0.294,0.575
0.462,0.455,0.134,0.408
0.418,0.454,0.103,0.275
0.471,0.287,0.388,0.450
0.517,0.190,0.588,0.721
0.521,0.052,0.781,0.708
0.557,0.263,0.487,0.867
0.557,0.435,0.284,0.842
0.508,0.507,0.163,0.604
0.473,0.513,0.103,0.463
0.490,0.336,0.359,0.558
0.490,0.263,0.459,0.554
0.475,0.220,0.491,0.463
